,wave,telluric
0,6250.0,1.0
1,6250.01,1.0
2,6250.02,1.0
3,6250.03,1.0
4,6250.04,1.0
5,6250.05,1.0
6,6250.06,1.0
7,6250.07,1.0
8,6250.08,1.0
9,6250.09,1.0
10,6250.1,1.0
11,6250.11,1.0
12,6250.12,1.0
13,6250.13,1.0
14,6250.14,1.0
15,6250.15,1.0
16,6250.16,1.0
17,6250.17,1.0
18,6250.18,1.0
19,6250.19,1.0
20,6250.2,1.0
21,6250.21,1.0
22,6250.22,1.0
23,6250.23,1.0
24,6250.24,1.0
25,6250.25,1.0
26,6250.26,1.0
27,6250.27,1.0
28,6250.28,1.0
29,6250.29,1.0
30,6250.3,1.0
31,6250.31,1.0
32,6250.32,1.0
33,6250.33,1.0
34,6250.34,1.0
35,6250.35,1.0
36,6250.36,1.0
37,6250.37,1.0
38,6250.38,1.0
39,6250.39,1.0
40,6250.4,1.0
41,6250.41,1.0
42,6250.42,1.0
43,6250.43,1.0
44,6250.44,1.0
45,6250.45,1.0
46,6250.46,1.0
47,6250.47,1.0
48,6250.48,1.0
49,6250.49,1.0
50,6250.5,1.0
51,6250.51,1.0
52,6250.52,1.0
53,6250.53,1.0
54,6250.54,1.0
55,6250.55,1.0
56,6250.56,1.0
57,6250.57,1.0
58,6250.58,1.0
59,6250.59,1.0
60,6250.6,1.0
61,6250.61,1.0
62,6250.62,1.0
63,6250.63,1.0
64,6250.64,1.0
65,6250.65,1.0
66,6250.66,1.0
67,6250.67,1.0
68,6250.68,1.0
69,6250.69,1.0
70,6250.7,1.0
71,6250.71,1.0
72,6250.72,1.0
73,6250.73,1.0
74,6250.74,1.0
75,6250.75,1.0
76,6250.76,1.0
77,6250.77,1.0
78,6250.78,1.0
79,6250.79,1.0
80,6250.8,1.0
81,6250.81,1.0
82,6250.82,1.0
83,6250.83,1.0
84,6250.84,1.0
85,6250.85,1.0
86,6250.86,1.0
87,6250.87,1.0
88,6250.88,1.0
89,6250.89,1.0
90,6250.9,1.0
91,6250.91,1.0
92,6250.92,1.0
93,6250.93,1.0
94,6250.94,1.0
95,6250.95,1.0
96,6250.96,1.0
97,6250.97,1.0
98,6250.98,1.0
99,6250.99,1.0
100,6251.0,1.0
101,6251.01,1.0
102,6251.02,1.0
103,6251.03,1.0
104,6251.04,1.0
105,6251.05,1.0
106,6251.06,1.0
107,6251.07,1.0
108,6251.08,1.0
109,6251.09,1.0
110,6251.1,1.0
111,6251.11,1.0
112,6251.12,1.0
113,6251.13,1.0
114,6251.14,1.0
115,6251.15,1.0
116,6251.16,1.0
117,6251.17,1.0
118,6251.18,1.0
119,6251.19,1.0
120,6251.2,1.0
121,6251.21,1.0
122,6251.22,1.0
123,6251.23,1.0
124,6251.24,1.0
125,6251.25,1.0
126,6251.26,1.0
127,6251.27,1.0
128,6251.28,1.0
129,6251.29,1.0
130,6251.3,1.0
131,6251.31,1.0
132,6251.32,1.0
133,6251.33,1.0
134,6251.34,1.0
135,6251.35,1.0
136,6251.36,1.0
137,6251.37,1.0
138,6251.38,1.0
139,6251.39,1.0
140,6251.4,1.0
141,6251.41,1.0
142,6251.42,1.0
143,6251.43,1.0
144,6251.44,1.0
145,6251.45,1.0
146,6251.46,1.0
147,6251.47,1.0
148,6251.48,1.0
149,6251.49,1.0
150,6251.5,1.0
151,6251.51,1.0
152,6251.52,1.0
153,6251.53,1.0
154,6251.54,1.0
155,6251.55,1.0
156,6251.56,1.0
157,6251.57,1.0
158,6251.58,1.0
159,6251.59,1.0
160,6251.6,1.0
161,6251.61,1.0
162,6251.62,1.0
163,6251.63,1.0
164,6251.64,1.0
165,6251.65,1.0
166,6251.66,1.0
167,6251.67,1.0
